person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22,62900,0,6.0,2,3,20000,14.91,1,0.27,0,4
22,45996,0,2.0,1,0,8000,7.51,0,0.17,0,3
40,132000,0,18.0,1,2,11200,12.68,0,0.08,1,11
50,76500,0,1.0,0,1,20000,11.99,0,0.26,0,17
33,116004,2,12.0,2,2,8200,13.85,0,0.07,0,9
35,40000,0,2.0,2,1,2200,10.99,0,0.06,0,10
25,51500,0,5.0,3,2,1325,14.79,0,0.03,0,3
29,55000,0,0.0,0,3,8500,16.29,1,0.15,1,8
23,75000,0,4.0,0,1,5000,10.99,0,0.07,0,4
32,54000,2,9.0,3,2,13000,12.53,0,0.24,1,10
24,54996,0,2.0,4,1,23600,11.89,1,0.43,0,4
30,95000,2,0.0,0,3,6000,15.99,0,0.06,1,7
24,69996,0,3.0,4,1,2500,12.53,0,0.04,0,4
24,31000,0,6.0,0,2,15075,15.27,1,0.49,1,2
27,48000,2,1.0,0,2,6000,13.49,0,0.13,0,7
30,91000,2,9.0,5,1,18500,12.42,0,0.2,0,7
29,57600,0,1.0,1,1,6000,9.91,0,0.1,0,5
33,50000,1,1.0,3,3,12000,13.99,0,0.24,1,7
23,52000,0,5.0,5,2,8000,13.22,0,0.15,0,2
21,30000,0,5.0,3,0,12000,5.79,1,0.4,0,3
36,44000,0,4.0,5,2,16000,14.65,1,0.36,0,11
23,15000,1,4.0,5,2,4000,13.98,1,0.27,0,4
24,56000,0,8.0,1,0,5600,6.03,0,0.1,0,3
23,67000,1,7.0,0,2,6400,10.99,0,0.1,0,3
22,29000,2,5.0,5,1,9000,10.99,1,0.31,0,4
25,76209,2,9.0,5,2,3000,10.99,0,0.04,1,4
29,70553,0,8.0,2,2,15000,13.47,1,0.18,1,10
23,60000,2,6.0,1,0,1200,6.03,0,0.02,0,3
26,96000,2,2.0,3,6,10000,21.14,1,0.1,0,3
24,79650,0,4.0,0,4,6000,16.35,1,0.08,1,3
30,54000,2,6.0,2,0,5375,10.99,0,0.1,0,5
25,72000,1,8.0,1,0,18000,7.66,0,0.25,0,3
21,80400,0,5.0,3,0,14400,10.99,0,0.18,0,4
27,30000,0,8.0,5,1,11000,9.91,1,0.37,0,10
34,14400,0,2.0,0,1,2500,10.0,1,0.17,0,5
24,30000,0,1.0,2,1,4300,9.63,0,0.14,0,4
22,27000,2,1.0,1,1,12000,10.99,1,0.44,0,3
23,60000,0,2.0,3,0,5000,6.91,0,0.08,0,4
26,36000,0,10.0,2,0,6400,5.99,0,0.18,0,3
26,150500,2,10.0,5,3,10000,15.99,1,0.07,0,3
35,32000,0,4.0,5,0,14500,6.17,1,0.45,0,5
29,338000,0,3.0,4,5,24000,17.8,1,0.07,0,8
33,51888,2,13.0,0,2,7000,13.98,0,0.13,0,10
22,58992,0,0.0,2,2,3000,12.84,1,0.05,1,3
26,91000,2,10.0,5,3,5000,14.96,1,0.05,0,2
